municipality,urban_file,year,mean_monthly_m3,annual_m3,population,lpcd,observed,n_months_observed
Dona Remedios Trinidad,Urban_1,2000,14590.519999999999,175086.24,13636.0,35.178082191780824,True,12
Dona Remedios Trinidad,Urban_1,2001,20236.375,242836.5,14260.2,46.65470887168867,True,12
Dona Remedios Trinidad,Urban_1,2002,20351.186,244214.23200000002,14884.4,44.95176746602033,True,12
Dona Remedios Trinidad,Urban_1,2003,20465.997,245591.96399999998,15508.6,43.385908198703355,True,12
Dona Remedios Trinidad,Urban_1,2004,20580.701,246968.412,16132.8,41.941001332773595,True,12
Dona Remedios Trinidad,Urban_1,2005,20695.512,248346.14399999997,16757.0,40.60395026081923,True,12
Dona Remedios Trinidad,Urban_1,2006,20810.323,249723.876,17381.2,39.36293252132914,True,12
Dona Remedios Trinidad,Urban_1,2007,20925.134,251101.60799999998,18005.4,38.20796044291734,True,12
Dona Remedios Trinidad,Urban_1,2008,21039.838,252478.05599999998,18629.6,37.13019610565246,True,12
Dona Remedios Trinidad,Urban_1,2009,21197.55142,254370.61703999998,19253.8,36.195753571221736,True,12
Dona Remedios Trinidad,Urban_1,2010,23680.6614,284167.9368,19878.0,39.16602739726027,True,12
Dona Remedios Trinidad,Urban_1,2011,30289.1657,363469.98840000003,20435.0,48.73052054794521,True,12
Dona Remedios Trinidad,Urban_1,2012,37221.75488,446661.05856000003,20992.0,58.29501369863014,True,12
Dona Remedios Trinidad,Urban_1,2013,44478.42893999999,533741.1472799999,21549.0,67.85950684931505,True,12
Dona Remedios Trinidad,Urban_1,2014,52059.187880000005,624710.25456,22106.0,77.424,True,12
Dona Remedios Trinidad,Urban_1,2015,59964.0317,719568.3804,22663.0,86.98849315068493,True,12
Dona Remedios Trinidad,Urban_1,2016,65130.71443,781568.57316,23861.6,89.73764383286083,True,12
Dona Remedios Trinidad,Urban_1,2017,70497.85103,845974.21236,25060.2,92.48679452317177,True,12
Dona Remedios Trinidad,Urban_1,2018,76065.44149,912785.29788,26258.8,95.2359452079835,True,12
Dona Remedios Trinidad,Urban_1,2019,81833.48581,982001.82972,27457.4,97.98509588801622,True,12
Dona Remedios Trinidad,Urban_1,2020,87801.984,1053623.808,28656.0,100.73424657534247,True,12
Dona Remedios Trinidad,Urban_1,2021,91962.03184,1103544.38208,29008.0,104.22673972602739,True,12
Dona Remedios Trinidad,Urban_1,2022,96196.572,1154358.864,29360.0,107.71890410958905,True,12
Dona Remedios Trinidad,Urban_1,2023,100506.18820000002,1206074.2584000002,29712.0,111.2113973045345,True,12
Dona Remedios Trinidad,Urban_1,2024,104890.2896,1258683.4752,30064.0,114.70356164383563,True,12
Norzagaray,Urban_2,2000,,,76978.0,,False,0
Norzagaray,Urban_2,2001,,,79589.7,,False,0
Norzagaray,Urban_2,2002,,,82201.4,,False,0
Norzagaray,Urban_2,2003,,,84813.1,,False,0
Norzagaray,Urban_2,2004,,,87424.8,,False,0
Norzagaray,Urban_2,2005,,,90036.5,,False,0
Norzagaray,Urban_2,2006,,,92648.2,,False,0
Norzagaray,Urban_2,2007,,,95259.9,,False,0
Norzagaray,Urban_2,2008,,,97871.6,,False,0
Norzagaray,Urban_2,2009,,,100483.3,,False,0
Norzagaray,Urban_2,2010,197235.0,2366820.0,103095.0,62.89769975424981,True,6
Norzagaray,Urban_2,2011,196655.0,2359860.0,104745.6,61.724500723788864,True,12
Norzagaray,Urban_2,2012,205723.0,2468676.0,106396.2,63.56896101938752,True,12
Norzagaray,Urban_2,2013,215371.0,2584452.0,108046.8,65.53355037778911,True,12
Norzagaray,Urban_2,2014,242625.5,2911506.0,109697.4,72.71575048381537,True,12
Norzagaray,Urban_2,2015,274306.5,3291678.0,111348.0,80.99198809507992,True,12
Norzagaray,Urban_2,2016,290561.5,3486738.0,116291.2,82.14470956800746,True,12
Norzagaray,Urban_2,2017,309241.0,3710892.0,121234.4,83.86091239169967,True,12
Norzagaray,Urban_2,2018,343302.5,4119630.0,126177.6,89.45056439690227,True,12
Norzagaray,Urban_2,2019,390103.0,4681236.0,131120.8,97.81288788345589,True,12
Norzagaray,Urban_2,2020,371463.0,4457556.0,136064.0,89.75542532764598,True,12
Norzagaray,Urban_2,2021,411602.5,4939230.0,137222.25,98.61474350042627,True,12
Norzagaray,Urban_2,2022,424005.5,5088066.0,138380.5,100.73606360227828,True,12
Norzagaray,Urban_2,2023,463066.0,5556792.0,139538.75,109.1029385832457,True,12
Norzagaray,Urban_2,2024,485813.4166666667,5829761.0,140697.0,113.5201741700639,True,12
Angat,Urban_3,2000,,,46033.0,,False,0
Angat,Urban_3,2001,,,46962.9,,False,0
Angat,Urban_3,2002,,,47892.8,,False,0
Angat,Urban_3,2003,,,48822.7,,False,0
Angat,Urban_3,2004,,,49752.6,,False,0
Angat,Urban_3,2005,,,50682.5,,False,0
