year,month,municipality,urban_file,demand_m3,observed
2000,1,Dona Remedios Trinidad,Urban_1,14590.52,True
2000,2,Dona Remedios Trinidad,Urban_1,14590.52,True
2000,3,Dona Remedios Trinidad,Urban_1,14590.52,True
2000,4,Dona Remedios Trinidad,Urban_1,14590.52,True
2000,5,Dona Remedios Trinidad,Urban_1,14590.52,True
2000,6,Dona Remedios Trinidad,Urban_1,14590.52,True
2000,7,Dona Remedios Trinidad,Urban_1,14590.52,True
2000,8,Dona Remedios Trinidad,Urban_1,14590.52,True
2000,9,Dona Remedios Trinidad,Urban_1,14590.52,True
2000,10,Dona Remedios Trinidad,Urban_1,14590.52,True
2000,11,Dona Remedios Trinidad,Urban_1,14590.52,True
2000,12,Dona Remedios Trinidad,Urban_1,14590.52,True
2001,1,Dona Remedios Trinidad,Urban_1,20236.375,True
2001,2,Dona Remedios Trinidad,Urban_1,20236.375,True
2001,3,Dona Remedios Trinidad,Urban_1,20236.375,True
2001,4,Dona Remedios Trinidad,Urban_1,20236.375,True
2001,5,Dona Remedios Trinidad,Urban_1,20236.375,True
2001,6,Dona Remedios Trinidad,Urban_1,20236.375,True
2001,7,Dona Remedios Trinidad,Urban_1,20236.375,True
2001,8,Dona Remedios Trinidad,Urban_1,20236.375,True
2001,9,Dona Remedios Trinidad,Urban_1,20236.375,True
2001,10,Dona Remedios Trinidad,Urban_1,20236.375,True
2001,11,Dona Remedios Trinidad,Urban_1,20236.375,True
2001,12,Dona Remedios Trinidad,Urban_1,20236.375,True
2002,1,Dona Remedios Trinidad,Urban_1,20351.186,True
2002,2,Dona Remedios Trinidad,Urban_1,20351.186,True
2002,3,Dona Remedios Trinidad,Urban_1,20351.186,True
2002,4,Dona Remedios Trinidad,Urban_1,20351.186,True
2002,5,Dona Remedios Trinidad,Urban_1,20351.186,True
2002,6,Dona Remedios Trinidad,Urban_1,20351.186,True
2002,7,Dona Remedios Trinidad,Urban_1,20351.186,True
2002,8,Dona Remedios Trinidad,Urban_1,20351.186,True
2002,9,Dona Remedios Trinidad,Urban_1,20351.186,True
2002,10,Dona Remedios Trinidad,Urban_1,20351.186,True
2002,11,Dona Remedios Trinidad,Urban_1,20351.186,True
2002,12,Dona Remedios Trinidad,Urban_1,20351.186,True
2003,1,Dona Remedios Trinidad,Urban_1,20465.997,True
2003,2,Dona Remedios Trinidad,Urban_1,20465.997,True
2003,3,Dona Remedios Trinidad,Urban_1,20465.997,True
2003,4,Dona Remedios Trinidad,Urban_1,20465.997,True
2003,5,Dona Remedios Trinidad,Urban_1,20465.997,True
2003,6,Dona Remedios Trinidad,Urban_1,20465.997,True
2003,7,Dona Remedios Trinidad,Urban_1,20465.997,True
2003,8,Dona Remedios Trinidad,Urban_1,20465.997,True
2003,9,Dona Remedios Trinidad,Urban_1,20465.997,True
2003,10,Dona Remedios Trinidad,Urban_1,20465.997,True
2003,11,Dona Remedios Trinidad,Urban_1,20465.997,True
2003,12,Dona Remedios Trinidad,Urban_1,20465.997,True
2004,1,Dona Remedios Trinidad,Urban_1,20580.701,True
2004,2,Dona Remedios Trinidad,Urban_1,20580.701,True
2004,3,Dona Remedios Trinidad,Urban_1,20580.701,True
2004,4,Dona Remedios Trinidad,Urban_1,20580.701,True
2004,5,Dona Remedios Trinidad,Urban_1,20580.701,True
2004,6,Dona Remedios Trinidad,Urban_1,20580.701,True
2004,7,Dona Remedios Trinidad,Urban_1,20580.701,True
2004,8,Dona Remedios Trinidad,Urban_1,20580.701,True
2004,9,Dona Remedios Trinidad,Urban_1,20580.701,True
2004,10,Dona Remedios Trinidad,Urban_1,20580.701,True
2004,11,Dona Remedios Trinidad,Urban_1,20580.701,True
2004,12,Dona Remedios Trinidad,Urban_1,20580.701,True
2005,1,Dona Remedios Trinidad,Urban_1,20695.512,True
2005,2,Dona Remedios Trinidad,Urban_1,20695.512,True
2005,3,Dona Remedios Trinidad,Urban_1,20695.512,True
2005,4,Dona Remedios Trinidad,Urban_1,20695.512,True
2005,5,Dona Remedios Trinidad,Urban_1,20695.512,True
2005,6,Dona Remedios Trinidad,Urban_1,20695.512,True
2005,7,Dona Remedios Trinidad,Urban_1,20695.512,True
2005,8,Dona Remedios Trinidad,Urban_1,20695.512,True
2005,9,Dona Remedios Trinidad,Urban_1,20695.512,True
2005,10,Dona Remedios Trinidad,Urban_1,20695.512,True
2005,11,Dona Remedios Trinidad,Urban_1,20695.512,True
2005,12,Dona Remedios Trinidad,Urban_1,20695.512,True
2006,1,Dona Remedios Trinidad,Urban_1,20810.323,True
2006,2,Dona Remedios Trinidad,Urban_1,20810.323,True
2006,3,Dona Remedios Trinidad,Urban_1,20810.323,True
2006,4,Dona Remedios Trinidad,Urban_1,20810.323,True
2006,5,Dona Remedios Trinidad,Urban_1,20810.323,True
2006,6,Dona Remedios Trinidad,Urban_1,20810.323,True
2006,7,Dona Remedios Trinidad,Urban_1,20810.323,True
2006,8,Dona Remedios Trinidad,Urban_1,20810.323,True
2006,9,Dona Remedios Trinidad,Urban_1,20810.323,True
2006,10,Dona Remedios Trinidad,Urban_1,20810.323,True
2006,11,Dona Remedios Trinidad,Urban_1,20810.323,True
2006,12,Dona Remedios Trinidad,Urban_1,20810.323,True
2007,1,Dona Remedios Trinidad,Urban_1,20925.134,True
2007,2,Dona Remedios Trinidad,Urban_1,20925.134,True
2007,3,Dona Remedios Trinidad,Urban_1,20925.134,True
2007,4,Dona Remedios Trinidad,Urban_1,20925.134,True
2007,5,Dona Remedios Trinidad,Urban_1,20925.134,True
2007,6,Dona Remedios Trinidad,Urban_1,20925.134,True
2007,7,Dona Remedios Trinidad,Urban_1,20925.134,True
2007,8,Dona Remedios Trinidad,Urban_1,20925.134,True
2007,9,Dona Remedios Trinidad,Urban_1,20925.134,True
2007,10,Dona Remedios Trinidad,Urban_1,20925.134,True
2007,11,Dona Remedios Trinidad,Urban_1,20925.134,True
2007,12,Dona Remedios Trinidad,Urban_1,20925.134,True
2008,1,Dona Remedios Trinidad,Urban_1,21039.838,True
2008,2,Dona Remedios Trinidad,Urban_1,21039.838,True
2008,3,Dona Remedios Trinidad,Urban_1,21039.838,True
2008,4,Dona Remedios Trinidad,Urban_1,21039.838,True
2008,5,Dona Remedios Trinidad,Urban_1,21039.838,True
2008,6,Dona Remedios Trinidad,Urban_1,21039.838,True
2008,7,Dona Remedios Trinidad,Urban_1,21039.838,True
2008,8,Dona Remedios Trinidad,Urban_1,21039.838,True
2008,9,Dona Remedios Trinidad,Urban_1,21039.838,True
2008,10,Dona Remedios Trinidad,Urban_1,21039.838,True
2008,11,Dona Remedios Trinidad,Urban_1,21039.838,True
2008,12,Dona Remedios Trinidad,Urban_1,21039.838,True
2009,1,Dona Remedios Trinidad,Urban_1,21197.55142,True
2009,2,Dona Remedios Trinidad,Urban_1,21197.55142,True
2009,3,Dona Remedios Trinidad,Urban_1,21197.55142,True
2009,4,Dona Remedios Trinidad,Urban_1,21197.55142,True
2009,5,Dona Remedios Trinidad,Urban_1,21197.55142,True
2009,6,Dona Remedios Trinidad,Urban_1,21197.55142,True
2009,7,Dona Remedios Trinidad,Urban_1,21197.55142,True
2009,8,Dona Remedios Trinidad,Urban_1,21197.55142,True
2009,9,Dona Remedios Trinidad,Urban_1,21197.55142,True
2009,10,Dona Remedios Trinidad,Urban_1,21197.55142,True
2009,11,Dona Remedios Trinidad,Urban_1,21197.55142,True
2009,12,Dona Remedios Trinidad,Urban_1,21197.55142,True
2010,1,Dona Remedios Trinidad,Urban_1,23680.6614,True
