municipality,urban_file,year,population,lpcd_mean,lpcd_lower90,lpcd_upper90,annual_m3_mean,annual_m3_lower90,annual_m3_upper90,mean_monthly_m3,monthly_m3_lower90,monthly_m3_upper90,flag,n_overlap_years,cv_ratio
Dona Remedios Trinidad,Urban_1,2000,13636.0,35.178082191780824,35.178082191780824,35.178082191780824,175086.24,175086.24,175086.24,14590.519999999999,14590.519999999999,14590.519999999999,observed,,
Dona Remedios Trinidad,Urban_1,2001,14260.2,46.65470887168867,46.65470887168867,46.65470887168867,242836.5,242836.5,242836.5,20236.375,20236.375,20236.375,observed,,
Dona Remedios Trinidad,Urban_1,2002,14884.4,44.95176746602033,44.95176746602033,44.95176746602033,244214.232,244214.232,244214.232,20351.185999999998,20351.185999999998,20351.185999999998,observed,,
Dona Remedios Trinidad,Urban_1,2003,15508.6,43.38590819870336,43.38590819870336,43.38590819870336,245591.964,245591.964,245591.964,20465.997,20465.997,20465.997,observed,,
Dona Remedios Trinidad,Urban_1,2004,16132.8,41.9410013327736,41.9410013327736,41.9410013327736,246968.412,246968.412,246968.412,20580.701,20580.701,20580.701,observed,,
Dona Remedios Trinidad,Urban_1,2005,16757.0,40.60395026081923,40.60395026081923,40.60395026081923,248346.144,248346.144,248346.144,20695.512,20695.512,20695.512,observed,,
Dona Remedios Trinidad,Urban_1,2006,17381.2,39.36293252132914,39.36293252132914,39.36293252132914,249723.876,249723.876,249723.876,20810.323,20810.323,20810.323,observed,,
Dona Remedios Trinidad,Urban_1,2007,18005.4,38.20796044291734,38.20796044291734,38.20796044291734,251101.608,251101.608,251101.608,20925.134000000002,20925.134000000002,20925.134000000002,observed,,
Dona Remedios Trinidad,Urban_1,2008,18629.6,37.13019610565246,37.13019610565246,37.13019610565246,252478.056,252478.056,252478.056,21039.838,21039.838,21039.838,observed,,
Dona Remedios Trinidad,Urban_1,2009,19253.8,36.195753571221736,36.195753571221736,36.195753571221736,254370.61704,254370.61704,254370.61704,21197.55142,21197.55142,21197.55142,observed,,
Dona Remedios Trinidad,Urban_1,2010,19878.0,39.16602739726027,39.16602739726027,39.16602739726027,284167.9368,284167.9368,284167.9368,23680.6614,23680.6614,23680.6614,observed,,
Dona Remedios Trinidad,Urban_1,2011,20435.0,48.73052054794521,48.73052054794521,48.73052054794521,363469.9884,363469.9884,363469.9884,30289.165699999998,30289.165699999998,30289.165699999998,observed,,
Dona Remedios Trinidad,Urban_1,2012,20992.0,58.29501369863014,58.29501369863014,58.29501369863014,446661.05856,446661.05856,446661.05856,37221.75488,37221.75488,37221.75488,observed,,
Dona Remedios Trinidad,Urban_1,2013,21549.0,67.85950684931505,67.85950684931505,67.85950684931505,533741.1472799999,533741.1472799999,533741.1472799999,44478.42893999999,44478.42893999999,44478.42893999999,observed,,
Dona Remedios Trinidad,Urban_1,2014,22106.0,77.424,77.424,77.424,624710.25456,624710.25456,624710.25456,52059.187880000005,52059.187880000005,52059.187880000005,observed,,
Dona Remedios Trinidad,Urban_1,2015,22663.0,86.98849315068493,86.98849315068493,86.98849315068493,719568.3804,719568.3804,719568.3804,59964.0317,59964.0317,59964.0317,observed,,
Dona Remedios Trinidad,Urban_1,2016,23861.6,89.73764383286083,89.73764383286083,89.73764383286083,781568.57316,781568.57316,781568.57316,65130.71443,65130.71443,65130.71443,observed,,
