;	Norzagaray									
;										
;Year	Rice	Ampalaya	Eggplant	Hotpepper	Okra	Patola	Tomato	Sitao	Upo	Watermelon
2000	8119.0144									
2001	8205.1454									
2002	8323.7702									
2003	8121.3513									
2004	7974.9063									
2005	7912.3668									
2006	8065.1547									
2007	8199.6927									
2008	9026.5057									
2009	8894.082									
2010	8809.0639	30.9359	16.6921	7.1219	10.5716	2.782	18.1387	74.7804	9.4588	12.2408
2011	6701.1915	31.4923	17.0259	7.3445	11.0168	2.782	18.9177	75.6706	9.7927	7.7896
2012	8871.6034	32.16	17.0259	7.5448	10.8498	2.782	19.5853	75.003	9.9596	7.5671
2013	9132.7784	31.0472	16.4695	6.2873	10.9055	2.7264	19.1402	71.9984	9.6814	15.9131
2014	9120.4263	31.8262	17.2485	7.0663	11.128	3.1158	19.9192	74.3353	10.1265	8.0122
2015	8824.198	33.3841	22.0335	7.7896	15.3567	3.4497	20.3643	77.6737	19.3628	11.128
