;	Urban 3									
;										
;Year	Rice	Ampalaya	Eggplant	Hotpepper	Okra	Patola	Tomato	Sitao	Upo	Watermelon
2000	18863.2039									
2001	19063.3152									
2002	19338.9206									
2003	18868.6333									
2004	18528.3923									
2005	18383.0919									
2006	18738.0697									
2007	19050.6466									
2008	20971.6116									
2009	20663.947									
2010	20466.4211	71.8746	38.7813	16.5467	24.5615	6.4635	42.1423	173.74	21.976	28.4396
2011	15569.1238	73.1673	39.5569	17.0638	25.5956	6.4635	43.9521	175.8084	22.7517	18.0979
2012	20611.7215	74.7186	39.5569	17.5291	25.2078	6.4635	45.5033	174.2571	23.1395	17.5808
2013	21218.5189	72.1331	38.2642	14.6076	25.3371	6.3343	44.4692	167.2765	22.4931	36.9715
2014	21189.8208	73.9429	40.074	16.4174	25.8542	7.2392	46.279	172.7059	23.5273	18.615
2015	20501.5828	77.5625	51.1913	18.0979	35.6788	8.0148	47.3131	180.4621	44.9863	25.8542
