;	San Ildefonso												San Miguel								
;																					
;Year	Rice	Ampalaya	Eggplant	Hotpepper	Okra	Patola	Tomato	Sitao	Upo	Watermelon		Rice	Ampalaya	Eggplant	Hotpepper	Okra	Patola	Tomato	Sitao	Upo	Watermelon
2000	3373.4653											6064.9512									
2001	3409.2529											6129.2916									
2002	3458.5417											6217.905									
2003	3374.4363											6066.6969									
2004	3313.5881											5957.3016									
2005	3287.6028											5910.5842									
2006	3351.0865											6024.7177									
2007	3406.9873											6125.2183									
2008	3750.5296											6742.8525									
2009	3695.5073											6643.9313									
2010	3660.1821	12.8539	6.9356	2.9592	4.3925	1.1559	7.5367	31.0714	3.9302	5.0861		6580.4222	23.1093	12.4691	5.3201	7.8971	2.0782	13.5497	55.8614	7.0658	9.144
2011	2784.3573	13.0851	7.0743	3.0517	4.5775	1.1559	7.8603	31.4413	4.0689	3.2366		5005.8292	23.525	12.7184	5.4864	8.2296	2.0782	14.1316	56.5264	7.3152	5.8189
2012	3686.1674	13.3625	7.0743	3.1349	4.5081	1.1559	8.1377	31.1639	4.1382	3.1441		6627.1396	24.0237	12.7184	5.636	8.1049	2.0782	14.6304	56.0276	7.4399	5.6526
2013	3794.6861	12.9002	6.8431	2.6124	4.5312	1.1328	7.9528	29.9155	4.0226	6.6119		6822.2388	23.1925	12.3028	4.6967	8.1465	2.0366	14.2979	53.7832	7.2321	11.8872
2014	3789.5538	13.2238	7.1668	2.9361	4.6237	1.2946	8.2765	30.8864	4.2076	3.3291		6813.0117	23.7743	12.8847	5.2786	8.3127	2.3276	14.8797	55.5289	7.5646	5.9851
2015	3666.4704	13.8712	9.155	3.2366	6.3807	1.4334	8.4614	32.2736	8.0453	4.6237		6591.7275	24.9381	16.4592	5.8189	11.4715	2.5769	15.2123	58.0227	14.4641	8.3127
