;,DRT,Rice,Ampalaya,Eggplant,Hotpepper,Okra,Patola,Tomato,Sitao,Upo,Watermelon
;,,,,,,,,,,,,
;Year,Month,Rice,Ampalaya,Eggplant,Hotpepper,Okra,Patola,Tomato,Sitao,Upo,Watermelon
2016,1,27,0.6,0.55,0.12,0,0,0.95,1.75,0,0.03
2016,2,27,1.15,0.5,0.19,0,0,0.59,2.8,0.15,0.07
2016,3,27,0.5,0.1,0.05,0.1,0,0.55,1.15,0,0.04
2016,4,66,0,0.72,0.52,0.1,0,0.4,2.05,0.5,0
2016,5,66.5,0.3,0.93,0.65,0.3,0.15,0.1,3.05,0.15,0
2016,6,80.5,0.65,1.07,2.16,0.49,0,0.05,5.6,0.3,0
2016,7,30.5,1.5,1.6,3.5,1.6,0.55,1.05,0.5,0.7,0.08
2016,8,122,1.1,2.72,0.97,0.15,0.2,0.15,4.71,0.4,0
2016,9,100,0,0,0,0,0,0,0,0,0
2016,10,27,0.45,1.05,0.44,0,0,0.3,3.95,0.1,0
2016,11,27,0.75,1.37,1.5,0.1,0.1,0.56,5.53,0.5,0.02
2016,12,27,2.2,1.98,0.7,0.4,0,1.2,7.4,0.3,0.02
2017,1,66,1.1,1.35,1.95,0.14,0.04,0.94,5.48,0.35,0.03
2017,2,66.5,0.55,0.43,0.6,0.15,0.02,0.58,4.78,0.7,0.07
2017,3,80.5,0.1,0.3,0.18,0,0.01,1,3.13,0,0.05
2017,4,30.5,1.05,0.3,0.2,0,0,0.25,4.15,0.4,0
2017,5,122,1,1.4,0.4,0.6,0.12,0,3.6,0.4,0
2017,6,100,1.05,1.1,1.69,0,0.3,0,6.03,0.65,0
2017,7,27,3.75,4.72,2.08,0.34,0.71,0.46,9.85,0.5,0.07
2017,8,27,5.5,3.76,3,0.9,0.39,1,17.09,1.06,0
2017,9,27,1.65,0,0.95,0,0.47,0,6.01,0,0
2017,10,66,1.54,1.15,0.53,0.5,0.49,0.47,8.18,0.2,0
2017,11,66.5,1.6,1.34,0.45,0.24,0.09,0.32,23.49,0.75,0.02
2017,12,80.5,0.45,1.8,0.92,0.14,0.06,0.55,3.86,0.5,0.02
2018,1,30.5,0.65,1.11,0.6,0.1,0.2,0.56,4.21,0.35,0.08
2018,2,122,0.85,1.12,0.3,0.14,0.1,0.63,4.55,0.2,0.06
2018,3,100,0.3,0.6,0.15,0,0.05,0.4,2.12,0.05,0.04
2018,4,884,0.35,0.71,0.22,0,0,0.2,1.91,0,0
2018,5,884,0.35,0.4,0.31,0,0,0.1,2.77,0.25,0
