;,Norzagaray,Rice,Ampalaya,Eggplant,Hotpepper,Okra,Patola,Tomato,Sitao,Upo,Watermelon
;,,,,,,,,,,,,
;Year,Month,Rice,Ampalaya,Eggplant,Hotpepper,Okra,Patola,Tomato,Sitao,Upo,Watermelon
2016,1,83.75,0,44,0,0.05,0,0.03,0.07,0,0
2016,2,83.75,0.05,0.12,0,0.35,0,0.12,0.6,0.05,0
2016,3,83.75,0,0.02,0,0.13,0.02,0,0.53,0.2,0
2016,4,1333.6,0,0.05,0,0,0,0,0,0,0
2016,5,1333.6,0,0.03,0,0.63,0,0,2.38,0,0
2016,6,1333.6,0,0,0,0,0,0,1.81,0.01,0
2016,7,1333.6,0.15,1.25,0,1.6,0.04,0,2.2,0.05,0
2016,8,1333.6,0,0,0,2.4,0,0,2.48,0,0
2016,9,83.75,0,0.15,0,0.55,0,0,3,0,0
2016,10,83.75,0.1,0.25,0,2.08,0,0.25,2.24,0.42,0
2016,11,83.75,0,1.2,0.2,0,0,0.15,0,0,0
2016,12,83.75,0.1,0.3,0.07,1.7,0,0,1.85,0.1,0
2017,1,141,0.1,1.2,0.15,1.05,0.36,0.27,2,0.1,0
2017,2,141,0.06,1.9,0.08,1.15,0,0.05,1.3,0.05,0
2017,3,141,0,0.6,0,0,0,0,0.2,0,0
2017,4,1322,0,0,0,0.5,0,0,0.6,0,0
2017,5,1322,0,0,0,0.5,0,0,0.6,0.15,0
2017,6,1322,0,0.15,0,1.05,0.17,0,1.4,0,0
2017,7,1322,0,0.1,0,3,0.01,0,3.5,0,0
2017,8,1322,0.05,0.75,0.01,2.39,0.12,0,2.67,0,0
2017,9,141,0,0,0,0.8,0.13,0,1,0,0
2017,10,141,0,0.02,0,0.36,0.66,0,0.48,0,0
2017,11,141,0,0,0,0.75,0.15,0,0.38,0,0
2017,12,141,0,0.2,0,1.3,0,0,1.4,0,0
2018,1,173,0.15,1.45,0.14,2.89,0,0,2.13,0.05,0
2018,2,173,0.1,0.95,0.08,1.57,0,0.25,1.42,0.05,0
2018,3,173,0,0.55,0.02,1.2,0,0,0.83,0,0
2018,4,1322,0,0.2,0.01,0.07,0,0,1.15,0,0
2018,5,1322,0,0,0,0.6,0,0,0.15,0,0
2018,6,1322,0.25,0.77,0.37,2.25,0,0,1.06,0,0
2018,7,1322,0,0.45,0.2,2.4,0,0,2.37,0,0
2018,8,1322,0,0.55,0.08,2.35,0.58,0,2.75,1.66,0
2018,9,173,0,0,0.06,0,0,0,0,0,0
2018,10,173,0,0.3,0.03,1.61,0,0,1.44,0,0
