;,Urban 4,Rice,Ampalaya,Eggplant,Hotpepper,Okra,Patola,Tomato,Sitao,Upo,Watermelon
;,,,,,,,,,,,,
;Year,Month,Rice,Ampalaya,Eggplant,Hotpepper,Okra,Patola,Tomato,Sitao,Upo,Watermelon
2016,1,1355.81,0.16,0.97,0.10,0.12,0.23,0.40,0.27,0.19,
2016,2,1355.81,3.16,1.35,0.26,0.40,0.62,0.59,1.14,0.11,
2016,3,1355.81,2.59,0.19,0.35,0.06,0.32,0.56,0.80,0.22,
2016,4,3643.93,0.70,0.86,0.46,0.30,0.33,0.87,0.79,0.30,
2016,5,3643.93,0.34,0.56,0.17,1.70,0.89,0.18,0.98,2.00,
2016,6,3643.93,0.31,0.59,0.14,0.50,0.51,0.20,1.90,0.07,
2016,7,3643.93,1.07,0.69,1.07,0.22,0.56,0.76,1.20,0.41,
2016,8,3643.93,0.65,0.62,0.81,0.43,0.00,0.21,0.49,0.10,
2016,9,1355.81,0.96,0.83,0.62,0.11,0.00,0.71,1.71,0.60,
2016,10,1355.81,0.80,0.46,0.19,0.75,0.00,0.77,3.10,0.26,
2016,11,1355.81,0.31,0.72,0.54,0.53,0.88,0.65,1.28,0.19,
2016,12,1355.81,0.58,1.87,0.49,0.55,0.00,0.28,0.97,1.10,
2017,1,1271.54,1.81,4.06,0.40,0.11,,1.66,1.34,1.88,
2017,2,1271.54,1.22,0.89,0.29,0.83,,1.34,1.66,2.63,
2017,3,1271.54,1.01,0.12,0.07,0.04,,0.39,0.48,0.53,
2017,4,3302.69,1.91,0.84,1.22,0.25,,1.28,1.46,0.19,
2017,5,3302.69,1.06,0.48,0.80,0.24,,0.20,8.48,0.06,
2017,6,3302.69,0.98,0.16,0.89,0.53,,0.58,0.83,0.04,
2017,7,3302.69,2.35,0.75,0.60,0.35,,0.19,1.37,0.10,
2017,8,3302.69,1.00,1.68,2.70,0.76,,0.25,0.62,0.30,
2017,9,1271.54,1.65,0.35,0.41,0.53,,0.58,1.24,0.86,
2017,10,1271.54,1.00,0.92,1.44,0.81,,0.94,2.15,0.62,
2017,11,1271.54,1.20,0.39,0.09,0.00,,0.61,0.36,0.00,
2017,12,1271.54,0.93,0.88,0.19,0.37,,0.74,1.30,0.60,
2018,1,1285.69,1.44,3.06,,1.59,0.19,1.21,1.66,0.43,
2018,2,1285.69,2.13,1.16,,0.83,0.24,1.11,3.10,0.25,
2018,3,1285.69,1.54,1.63,,0.05,0.28,3.14,1.03,0.03,
2018,4,3184.48,0.67,0.89,,0.07,0.16,0.52,1.18,0.17,
