;Year,Month,Rice,Ampalaya,Eggplant,Hotpepper,Okra,Patola,Tomato,Sitao,Upo,Watermelon,Rice,Ampalaya,Eggplant,Hotpepper,Okra,Patola,Tomato,Sitao,Upo,Watermelon
2000,1,,,,,,,,,,,,,,,,,,,,
2000,2,,,,,,,,,,,,,,,,,,,,
2000,3,,,,,,,,,,,,,,,,,,,,
2000,4,,,,,,,,,,,,,,,,,,,,
2000,5,,,,,,,,,,,,,,,,,,,,
2000,6,,,,,,,,,,,,,,,,,,,,
2000,7,,,,,,,,,,,,,,,,,,,,
2000,8,,,,,,,,,,,,,,,,,,,,
2000,9,,,,,,,,,,,,,,,,,,,,
2000,10,,,,,,,,,,,,,,,,,,,,
2000,11,,,,,,,,,,,,,,,,,,,,
2000,12,,,,,,,,,,,,,,,,,,,,
2001,1,,,,,,,,,,,,,,,,,,,,
2001,2,,,,,,,,,,,,,,,,,,,,
2001,3,,,,,,,,,,,,,,,,,,,,
2001,4,,,,,,,,,,,,,,,,,,,,
2001,5,,,,,,,,,,,,,,,,,,,,
2001,6,,,,,,,,,,,,,,,,,,,,
2001,7,,,,,,,,,,,,,,,,,,,,
2001,8,,,,,,,,,,,,,,,,,,,,
2001,9,,,,,,,,,,,,,,,,,,,,
2001,10,,,,,,,,,,,,,,,,,,,,
2001,11,,,,,,,,,,,,,,,,,,,,
2001,12,,,,,,,,,,,,,,,,,,,,
2002,1,,,,,,,,,,,,,,,,,,,,
2002,2,,,,,,,,,,,,,,,,,,,,
2002,3,,,,,,,,,,,,,,,,,,,,
2002,4,,,,,,,,,,,,,,,,,,,,
2002,5,,,,,,,,,,,,,,,,,,,,
2002,6,,,,,,,,,,,,,,,,,,,,
2002,7,,,,,,,,,,,,,,,,,,,,
2002,8,,,,,,,,,,,,,,,,,,,,
2002,9,,,,,,,,,,,,,,,,,,,,
2002,10,,,,,,,,,,,,,,,,,,,,
2002,11,,,,,,,,,,,,,,,,,,,,
2002,12,,,,,,,,,,,,,,,,,,,,
2003,1,,,,,,,,,,,,,,,,,,,,
2003,2,,,,,,,,,,,,,,,,,,,,
2003,3,,,,,,,,,,,,,,,,,,,,
2003,4,,,,,,,,,,,,,,,,,,,,
2003,5,,,,,,,,,,,,,,,,,,,,
2003,6,,,,,,,,,,,,,,,,,,,,
2003,7,,,,,,,,,,,,,,,,,,,,
2003,8,,,,,,,,,,,,,,,,,,,,
2003,9,,,,,,,,,,,,,,,,,,,,
2003,10,,,,,,,,,,,,,,,,,,,,
2003,11,,,,,,,,,,,,,,,,,,,,
2003,12,,,,,,,,,,,,,,,,,,,,
2004,1,,,,,,,,,,,,,,,,,,,,
2004,2,,,,,,,,,,,,,,,,,,,,
2004,3,,,,,,,,,,,,,,,,,,,,
2004,4,,,,,,,,,,,,,,,,,,,,
2004,5,,,,,,,,,,,,,,,,,,,,
2004,6,,,,,,,,,,,,,,,,,,,,
2004,7,,,,,,,,,,,,,,,,,,,,
2004,8,,,,,,,,,,,,,,,,,,,,
2004,9,,,,,,,,,,,,,,,,,,,,
2004,10,,,,,,,,,,,,,,,,,,,,
2004,11,,,,,,,,,,,,,,,,,,,,
2004,12,,,,,,,,,,,,,,,,,,,,
2005,1,,,,,,,,,,,,,,,,,,,,
2005,2,,,,,,,,,,,,,,,,,,,,
2005,3,,,,,,,,,,,,,,,,,,,,
2005,4,,,,,,,,,,,,,,,,,,,,
2005,5,,,,,,,,,,,,,,,,,,,,
2005,6,,,,,,,,,,,,,,,,,,,,
2005,7,,,,,,,,,,,,,,,,,,,,
2005,8,,,,,,,,,,,,,,,,,,,,
2005,9,,,,,,,,,,,,,,,,,,,,
2005,10,,,,,,,,,,,,,,,,,,,,
2005,11,,,,,,,,,,,,,,,,,,,,
2005,12,,,,,,,,,,,,,,,,,,,,
2006,1,,,,,,,,,,,,,,,,,,,,
2006,2,,,,,,,,,,,,,,,,,,,,
2006,3,,,,,,,,,,,,,,,,,,,,
2006,4,,,,,,,,,,,,,,,,,,,,
2006,5,,,,,,,,,,,,,,,,,,,,
2006,6,,,,,,,,,,,,,,,,,,,,
2006,7,,,,,,,,,,,,,,,,,,,,
2006,8,,,,,,,,,,,,,,,,,,,,
2006,9,,,,,,,,,,,,,,,,,,,,
2006,10,,,,,,,,,,,,,,,,,,,,
2006,11,,,,,,,,,,,,,,,,,,,,
2006,12,,,,,,,,,,,,,,,,,,,,
2007,1,,,,,,,,,,,,,,,,,,,,
2007,2,,,,,,,,,,,,,,,,,,,,
2007,3,,,,,,,,,,,,,,,,,,,,
2007,4,,,,,,,,,,,,,,,,,,,,
2007,5,,,,,,,,,,,,,,,,,,,,
2007,6,,,,,,,,,,,,,,,,,,,,
2007,7,,,,,,,,,,,,,,,,,,,,
2007,8,,,,,,,,,,,,,,,,,,,,
2007,9,,,,,,,,,,,,,,,,,,,,
2007,10,,,,,,,,,,,,,,,,,,,,
2007,11,,,,,,,,,,,,,,,,,,,,
2007,12,,,,,,,,,,,,,,,,,,,,
2008,1,,,,,,,,,,,,,,,,,,,,
2008,2,,,,,,,,,,,,,,,,,,,,
2008,3,,,,,,,,,,,,,,,,,,,,
2008,4,,,,,,,,,,,,,,,,,,,,
