;,,
;,,m3
;Year,Month,DRT
2000,1,14590.52
2000,2,14590.52
2000,3,14590.52
2000,4,14590.52
2000,5,14590.52
2000,6,14590.52
2000,7,14590.52
2000,8,14590.52
2000,9,14590.52
2000,10,14590.52
2000,11,14590.52
2000,12,14590.52
2001,1,20236.375
2001,2,20236.375
2001,3,20236.375
2001,4,20236.375
2001,5,20236.375
2001,6,20236.375
2001,7,20236.375
2001,8,20236.375
2001,9,20236.375
2001,10,20236.375
2001,11,20236.375
2001,12,20236.375
2002,1,20351.186
2002,2,20351.186
2002,3,20351.186
2002,4,20351.186
2002,5,20351.186
2002,6,20351.186
2002,7,20351.186
2002,8,20351.186
2002,9,20351.186
2002,10,20351.186
2002,11,20351.186
2002,12,20351.186
2003,1,20465.997
2003,2,20465.997
2003,3,20465.997
2003,4,20465.997
2003,5,20465.997
2003,6,20465.997
2003,7,20465.997
2003,8,20465.997
2003,9,20465.997
2003,10,20465.997
2003,11,20465.997
2003,12,20465.997
2004,1,20580.701
2004,2,20580.701
2004,3,20580.701
2004,4,20580.701
2004,5,20580.701
2004,6,20580.701
2004,7,20580.701
2004,8,20580.701
2004,9,20580.701
2004,10,20580.701
2004,11,20580.701
2004,12,20580.701
2005,1,20695.512
2005,2,20695.512
2005,3,20695.512
2005,4,20695.512
2005,5,20695.512
2005,6,20695.512
2005,7,20695.512
2005,8,20695.512
2005,9,20695.512
2005,10,20695.512
2005,11,20695.512
2005,12,20695.512
2006,1,20810.323
2006,2,20810.323
2006,3,20810.323
2006,4,20810.323
2006,5,20810.323
2006,6,20810.323
2006,7,20810.323
2006,8,20810.323
2006,9,20810.323
2006,10,20810.323
2006,11,20810.323
2006,12,20810.323
2007,1,20925.134
2007,2,20925.134
2007,3,20925.134
2007,4,20925.134
2007,5,20925.134
2007,6,20925.134
2007,7,20925.134
2007,8,20925.134
2007,9,20925.134
2007,10,20925.134
2007,11,20925.134
2007,12,20925.134
2008,1,21039.838
2008,2,21039.838
2008,3,21039.838
2008,4,21039.838
2008,5,21039.838
2008,6,21039.838
2008,7,21039.838
2008,8,21039.838
2008,9,21039.838
2008,10,21039.838
2008,11,21039.838
2008,12,21039.838
2009,1,21197.55142
2009,2,21197.55142
2009,3,21197.55142
2009,4,21197.55142
2009,5,21197.55142
2009,6,21197.55142
2009,7,21197.55142
2009,8,21197.55142
2009,9,21197.55142
2009,10,21197.55142
2009,11,21197.55142
2009,12,21197.55142
2010,1,23680.6614
2010,2,23680.6614
2010,3,23680.6614
2010,4,23680.6614
2010,5,23680.6614
2010,6,23680.6614
2010,7,23680.6614
2010,8,23680.6614
2010,9,23680.6614
2010,10,23680.6614
2010,11,23680.6614
2010,12,23680.6614
2011,1,30289.1657
2011,2,30289.1657
2011,3,30289.1657
2011,4,30289.1657
2011,5,30289.1657
2011,6,30289.1657
2011,7,30289.1657
2011,8,30289.1657
2011,9,30289.1657
2011,10,30289.1657
2011,11,30289.1657
2011,12,30289.1657
2012,1,37221.75488
2012,2,37221.75488
2012,3,37221.75488
2012,4,37221.75488
2012,5,37221.75488
2012,6,37221.75488
2012,7,37221.75488
2012,8,37221.75488
2012,9,37221.75488
2012,10,37221.75488
2012,11,37221.75488
2012,12,37221.75488
2013,1,44478.42894
2013,2,44478.42894
2013,3,44478.42894
2013,4,44478.42894
2013,5,44478.42894
2013,6,44478.42894
2013,7,44478.42894
2013,8,44478.42894
2013,9,44478.42894
2013,10,44478.42894
2013,11,44478.42894
2013,12,44478.42894
2014,1,52059.18788
2014,2,52059.18788
2014,3,52059.18788
2014,4,52059.18788
2014,5,52059.18788
2014,6,52059.18788
2014,7,52059.18788
2014,8,52059.18788
2014,9,52059.18788
2014,10,52059.18788
2014,11,52059.18788
2014,12,52059.18788
2015,1,59964.0317
2015,2,59964.0317
2015,3,59964.0317
2015,4,59964.0317
2015,5,59964.0317
2015,6,59964.0317
2015,7,59964.0317
