;,,Units: m3
;,,
;Year,Month,Norzagaray
2000,1,
2000,2,
2000,3,
2000,4,
2000,5,
2000,6,
2000,7,
2000,8,
2000,9,
2000,10,
2000,11,
2000,12,
2001,1,
2001,2,
2001,3,
2001,4,
2001,5,
2001,6,
2001,7,
2001,8,
2001,9,
2001,10,
2001,11,
2001,12,
2002,1,
2002,2,
2002,3,
2002,4,
2002,5,
2002,6,
2002,7,
2002,8,
2002,9,
2002,10,
2002,11,
2002,12,
2003,1,
2003,2,
2003,3,
2003,4,
2003,5,
2003,6,
2003,7,
2003,8,
2003,9,
2003,10,
2003,11,
2003,12,
2004,1,
2004,2,
2004,3,
2004,4,
2004,5,
2004,6,
2004,7,
2004,8,
2004,9,
2004,10,
2004,11,
2004,12,
2005,1,
2005,2,
2005,3,
2005,4,
2005,5,
2005,6,
2005,7,
2005,8,
2005,9,
2005,10,
2005,11,
2005,12,
2006,1,
2006,2,
2006,3,
2006,4,
2006,5,
2006,6,
2006,7,
2006,8,
2006,9,
2006,10,
2006,11,
2006,12,
2007,1,
2007,2,
2007,3,
2007,4,
2007,5,
2007,6,
2007,7,
2007,8,
2007,9,
2007,10,
2007,11,
2007,12,
2008,1,
2008,2,
2008,3,
2008,4,
2008,5,
2008,6,
2008,7,
2008,8,
2008,9,
2008,10,
2008,11,
2008,12,
2009,1,
2009,2,
2009,3,
2009,4,
2009,5,
2009,6,
2009,7,
2009,8,
2009,9,
2009,10,
2009,11,
2009,12,
2010,1,
2010,2,
2010,3,
2010,4,
2010,5,
2010,6,
2010,7,197235
2010,8,197235
2010,9,197235
2010,10,197235
2010,11,197235
2010,12,197235
2011,1,197235
2011,2,197235
2011,3,197235
2011,4,197235
2011,5,197235
2011,6,197235
2011,7,196075
2011,8,196075
2011,9,196075
2011,10,196075
2011,11,196075
2011,12,196075
2012,1,196075
2012,2,196075
2012,3,196075
2012,4,196075
2012,5,196075
2012,6,196075
2012,7,215371
2012,8,215371
2012,9,215371
2012,10,215371
2012,11,215371
2012,12,215371
2013,1,215371
2013,2,215371
2013,3,215371
2013,4,215371
2013,5,215371
2013,6,215371
2013,7,215371
2013,8,215371
2013,9,215371
2013,10,215371
2013,11,215371
2013,12,215371
2014,1,243797
2014,2,243797
2014,3,243797
2014,4,243797
2014,5,243797
2014,6,243797
2014,7,241454
2014,8,241454
2014,9,241454
2014,10,241454
2014,11,241454
2014,12,241454
2015,1,294619
2015,2,294619
2015,3,294619
2015,4,294619
2015,5,294619
2015,6,294619
2015,7,253994
2015,8,253994
2015,9,253994
2015,10,253994
2015,11,253994
2015,12,253994
2016,1,310829
2016,2,310829
2016,3,310829
2016,4,310829
2016,5,310829
2016,6,310829
2016,7,270294
2016,8,270294
2016,9,270294
2016,10,270294
2016,11,270294
2016,12,270294
2017,1,321444
2017,2,321444
2017,3,321444
2017,4,321444
2017,5,321444
2017,6,321444
2017,7,297038
2017,8,297038
2017,9,297038
2017,10,297038
2017,11,297038
2017,12,297038
2018,1,358428
2018,2,358428
2018,3,358428
2018,4,358428
2018,5,358428
2018,6,358428
2018,7,328177
2018,8,328177
2018,9,328177
2018,10,328177
2018,11,328177
2018,12,328177
2019,1,390103
2019,2,390103
2019,3,390103
2019,4,390103
2019,5,390103
2019,6,390103
2019,7,390103
2019,8,390103
2019,9,390103
2019,10,390103
2019,11,390103
2019,12,390103
2020,1,416940
2020,2,416940
2020,3,416940
2020,4,416940
2020,5,416940
2020,6,416940
2020,7,325986
2020,8,325986
2020,9,325986
2020,10,325986
2020,11,325986
2020,12,325986
2021,1,392636
2021,2,392636
2021,3,392636
2021,4,392636
2021,5,392636
2021,6,392636
2021,7,430569
2021,8,430569
2021,9,430569
2021,10,430569
2021,11,430569
2021,12,430569
2022,1,424982
2022,2,424982
2022,3,424982
2022,4,424982
2022,5,424982
2022,6,424982
2022,7,423029
2022,8,423029
2022,9,423029
2022,10,423029
2022,11,423029
2022,12,423029
2023,1,524492
2023,2,524492
2023,3,524492
2023,4,524492
2023,5,524492
2023,6,524492
2023,7,401640
2023,8,401640
2023,9,401640
2023,10,401640
2023,11,401640
2023,12,401640
2024,1,490882
2024,2,490882
2024,3,490882
2024,4,490882
2024,5,490882
2024,6,482193
2024,7,482193
2024,8,482193
2024,9,482193
2024,10,482193
2024,11,482193
2024,12,482193
