;,,,,,,,,,,,,
;,,,,,,,,,,,,
;Year,Month, Angat,Bulacan,Bustos,Plaridel,San Rafael,City of Malolos,Hagonoy, Baliwag,Calumpit,Guiguinto,Pandi
2000,1,,,,,,,,,,,
2000,2,,,,,,,,,,,
2000,3,,,,,,,,,,,
2000,4,,,,,,,,,,,
2000,5,,,,,,,,,,,
2000,6,,,,,,,,,,,
2000,7,,,,,,,,,,,
2000,8,,,,,,,,,,,
2000,9,,,,,,,,,,,
2000,10,,,,,,,,,,,
2000,11,,,,,,,,,,,
2000,12,,,,,,,,,,,
2001,1,,,,,,,,,,,
2001,2,,,,,,,,,,,
2001,3,,,,,,,,,,,
2001,4,,,,,,,,,,,
2001,5,,,,,,,,,,,
2001,6,,,,,,,,,,,
2001,7,,,,,,,,,,,
2001,8,,,,,,,,,,,
2001,9,,,,,,,,,,,
2001,10,,,,,,,,,,,
2001,11,,,,,,,,,,,
2001,12,,,,,,,,,,,
2002,1,,,,,,,,,,,
2002,2,,,,,,,,,,,
2002,3,,,,,,,,,,,
2002,4,,,,,,,,,,,
2002,5,,,,,,,,,,,
2002,6,,,,,,,,,,,
2002,7,,,,,,,,,,,
2002,8,,,,,,,,,,,
2002,9,,,,,,,,,,,
2002,10,,,,,,,,,,,
2002,11,,,,,,,,,,,
2002,12,,,,,,,,,,,
2003,1,,,,,,,,,,,
2003,2,,,,,,,,,,,
2003,3,,,,,,,,,,,
2003,4,,,,,,,,,,,
2003,5,,,,,,,,,,,
2003,6,,,,,,,,,,,
2003,7,,,,,,,,,,,
2003,8,,,,,,,,,,,
2003,9,,,,,,,,,,,
2003,10,,,,,,,,,,,
2003,11,,,,,,,,,,,
2003,12,,,,,,,,,,,
2004,1,,,,,,,,,,,
2004,2,,,,,,,,,,,
2004,3,,,,,,,,,,,
2004,4,,,,,,,,,,,
2004,5,,,,,,,,,,,
2004,6,,,,,,,,,,,
2004,7,,,,,,,,,,,
2004,8,,,,,,,,,,,
2004,9,,,,,,,,,,,
2004,10,,,,,,,,,,,
2004,11,,,,,,,,,,,
2004,12,,,,,,,,,,,
2005,1,,,,,,772487,,,,,
2005,2,,,,,,772487,,,,,
2005,3,,,,,,772487,,,,,
2005,4,,,,,,772487,,,,,
2005,5,,,,,,772487,,,,,
2005,6,,,,,,772487,,,,,
2005,7,,,,,,685766,,,,,
2005,8,,,,,,685766,,,,,
2005,9,,,,,,685766,,,,,
2005,10,,,,,,685766,,,,,
2005,11,,,,,,685766,,,,,
2005,12,,,,,,685766,,,,,
2006,1,,222079,,,101720,808919,,,,,
2006,2,,222079,,,101720,808919,,,,,
2006,3,,222079,,,101720,808919,,,,,
2006,4,,222079,,,101720,808919,,,,,
2006,5,,222079,,,101720,808919,,,,,
2006,6,,222079,,,101720,808919,,,,,
2006,7,,218792,,,88170,694972,,,,,
2006,8,,218792,,,88170,694972,,,,,
2006,9,,218792,,,88170,694972,,,,,
2006,10,,218792,,,88170,694972,,,,,
2006,11,,218792,,,88170,694972,,,,,
2006,12,,218792,,,88170,694972,,,,,
2007,1,,239291,,,104120,836565,,,,,
2007,2,,239291,,,104120,836565,,,,,
2007,3,,239291,,,104120,836565,,,,,
2007,4,,239291,,,104120,836565,,,,,
2007,5,,239291,,,104120,836565,,,,,
2007,6,,239291,,,104120,836565,,,,,
2007,7,,209870,,,93660,629194,,,,,
2007,8,,209870,,,93660,629194,,,,,
2007,9,,209870,,,93660,629194,,,,,
2007,10,,209870,,,93660,629194,,,,,
2007,11,,209870,,,93660,629194,,,,,
2007,12,,209870,,,93660,629194,,,,,
2008,1,,179688,,,106070,799914,,,,,
2008,2,,179688,,,106070,799914,,,,,
2008,3,,179688,,,106070,799914,,,,,
2008,4,,179688,,,106070,799914,,,,,
2008,5,,179688,,,106070,799914,,,,,
2008,6,,179688,,,106070,799914,,,,,
2008,7,,180722,,,97422,788703,,,,,
2008,8,,180722,,,97422,788703,,,,,
2008,9,,180722,,,97422,788703,,,,,
2008,10,,180722,,,97422,788703,,,,,
2008,11,,180722,,,97422,788703,,,,,
2008,12,,180722,,,97422,788703,,,,,
2009,1,,201697,,,119326,788703,,,,,
2009,2,,201697,,,119326,788703,,,,,
2009,3,,201697,,,119326,788703,,,,,
2009,4,,201697,,,119326,788703,,,,,
2009,5,,201697,,,119326,788703,,,,,
2009,6,,201697,,,119326,788703,,,,,
2009,7,,216887,,,95370,788703,,,,,
2009,8,,216887,,,95370,788703,,,,,
2009,9,,216887,,,95370,788703,,,,,
2009,10,,216887,,,95370,788703,,,,,
2009,11,,216887,,,95370,788703,,,,,
2009,12,,216887,,,95370,788703,,,,,
2010,1,,209365,,,132054,788703,,,,,
2010,2,,209365,,,132054,788703,,,,,
2010,3,,209365,,,132054,788703,,,,,
2010,4,,209365,,,132054,788703,,,,,
2010,5,,209365,,,132054,788703,,,,,
2010,6,,209365,,,132054,788703,,,,,
2010,7,135862,225032,208514,330606,115291,788703,611955,540352,427631,,
2010,8,135862,225032,208514,330606,115291,788703,611955,540352,427631,,
2010,9,135862,225032,208514,330606,115291,788703,611955,540352,427631,,
2010,10,135862,225032,208514,330606,115291,788703,611955,540352,427631,,
