;,,Units:m3,,,,,,
;,,,,,,,,
;Year,Month,Balagtas,Bocaue,Marilao,Meycauayan City, Obando,San Jose del Monte City, Santa Maria
2000,1,,,,,,,
2000,2,,,,,,,
2000,3,,,,,,,
2000,4,,,,,,,
2000,5,,,,,,,
2000,6,,,,,,,
2000,7,,,,,,,
2000,8,,,,,,,
2000,9,,,,,,,
2000,10,,,,,,,
2000,11,,,,,,,
2000,12,,,,,,,
2001,1,,,,,,,
2001,2,,,,,,,
2001,3,,,,,,,
2001,4,,,,,,,
2001,5,,,,,,,
2001,6,,,,,,,
2001,7,,,,,,,
2001,8,,,,,,,
2001,9,,,,,,,
2001,10,,,,,,,
2001,11,,,,,,,
2001,12,,,,,,,
2002,1,,,,,,,
2002,2,,,,,,,
2002,3,,,,,,,
2002,4,,,,,,,
2002,5,,,,,,,
2002,6,,,,,,,
2002,7,,,,,,,
2002,8,,,,,,,
2002,9,,,,,,,
2002,10,,,,,,,
2002,11,,,,,,,
2002,12,,,,,,,
2003,1,,,,,,,
2003,2,,,,,,,
2003,3,,,,,,,
2003,4,,,,,,,
2003,5,,,,,,,
2003,6,,,,,,,
2003,7,,,,,,,
2003,8,,,,,,,
2003,9,,,,,,,
2003,10,,,,,,,
2003,11,,,,,,,
2003,12,,,,,,,
2004,1,,,,,,,
2004,2,,,,,,,
2004,3,,,,,,,
2004,4,,,,,,,
2004,5,,,,,,,
2004,6,,,,,,,
2004,7,,,,,,,
2004,8,,,,,,,
2004,9,,,,,,,
2004,10,,,,,,,
2004,11,,,,,,,
2004,12,,,,,,,
2005,1,51073,,,322149,,1077603,164667
2005,2,51073,,,322149,,1077603,164667
2005,3,51073,,,322149,,1077603,164667
2005,4,51073,,,322149,,1077603,164667
2005,5,51073,,,322149,,1077603,164667
2005,6,51073,,,322149,,1077603,164667
2005,7,51073,,,293851,,954224,170120
2005,8,51073,,,293851,,954224,170120
2005,9,51073,,,293851,,954224,170120
2005,10,51073,,,293851,,954224,170120
2005,11,51073,,,293851,,954224,170120
2005,12,51073,,,293851,,954224,170120
2006,1,51073,,,312975,137351,1176939,192463
2006,2,51073,,,312975,137351,1176939,192463
2006,3,51073,,,312975,137351,1176939,192463
2006,4,51073,,,312975,137351,1176939,192463
2006,5,51073,,,312975,137351,1176939,192463
2006,6,51073,,,312975,137351,1176939,192463
2006,7,51073,,,290019,128375,1038372,202915
2006,8,51073,,,290019,128375,1038372,202915
2006,9,51073,,,290019,128375,1038372,202915
2006,10,51073,,,290019,128375,1038372,202915
2006,11,51073,,,290019,128375,1038372,202915
2006,12,51073,,,290019,128375,1038372,202915
2007,1,51073,,,331744,144689,1286697,223013
2007,2,51073,,,331744,144689,1286697,223013
2007,3,51073,,,331744,144689,1286697,223013
2007,4,51073,,,331744,144689,1286697,223013
2007,5,51073,,,331744,144689,1286697,223013
2007,6,51073,,,331744,144689,1286697,223013
2007,7,51073,,,275741,131557,1038885,240631
2007,8,51073,,,275741,131557,1038885,240631
2007,9,51073,,,275741,131557,1038885,240631
2007,10,51073,,,275741,131557,1038885,240631
2007,11,51073,,,275741,131557,1038885,240631
2007,12,51073,,,275741,131557,1038885,240631
2008,1,77761,,,306417,141528,1151069,251480
2008,2,77761,,,306417,141528,1151069,251480
2008,3,77761,,,306417,141528,1151069,251480
2008,4,77761,,,306417,141528,1151069,251480
2008,5,77761,,,306417,141528,1151069,251480
2008,6,77761,,,306417,141528,1151069,251480
2008,7,43635,,,311830,134071,1128641,262575
2008,8,43635,,,311830,134071,1128641,262575
2008,9,43635,,,311830,134071,1128641,262575
2008,10,43635,,,311830,134071,1128641,262575
2008,11,43635,,,311830,134071,1128641,262575
2008,12,43635,,,311830,134071,1128641,262575
2009,1,49994,,,255262,146766,1292410,271795
2009,2,49994,,,255262,146766,1292410,271795
2009,3,49994,,,255262,146766,1292410,271795
2009,4,49994,,,255262,146766,1292410,271795
2009,5,49994,,,255262,146766,1292410,271795
2009,6,49994,,,255262,146766,1292410,271795
2009,7,78850,,,1116381,153267,1286054,318597
2009,8,78850,,,1116381,153267,1286054,318597
2009,9,78850,,,1116381,153267,1286054,318597
2009,10,78850,,,1116381,153267,1286054,318597
2009,11,78850,,,1116381,153267,1286054,318597
2009,12,78850,,,1116381,153267,1286054,318597
2010,1,79558,,,1062481,166948,1434765,350271
2010,2,79558,,,1062481,166948,1434765,350271
2010,3,79558,,,1062481,166948,1434765,350271
2010,4,79558,,,1062481,166948,1434765,350271
2010,5,79558,,,1062481,166948,1434765,350271
2010,6,79558,,,1062481,166948,1434765,350271
2010,7,83635,179034,475046,1008792,165456,1269913,346546
2010,8,83635,179034,475046,1008792,165456,1269913,346546
2010,9,83635,179034,475046,1008792,165456,1269913,346546
2010,10,83635,179034,475046,1008792,165456,1269913,346546
2010,11,83635,179034,475046,1008792,165456,1269913,346546
2010,12,83635,179034,475046,1008792,165456,1269913,346546
2011,1,91500,179034,475046,484441,173162,1269913,392461
2011,2,91500,179034,475046,484441,173162,1269913,392461
2011,3,91500,179034,475046,484441,173162,1269913,392461
2011,4,91500,179034,475046,484441,173162,1269913,392461
2011,5,91500,179034,475046,484441,173162,1269913,392461
